kod;cena;supplierId;typeid;nazov;balenie;
1223211-001-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 1 L (VE 12 Stück);1 L;
1223211-004-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 4 L (VE 4 Stück);4 L;
1223211-010-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 10 L;plast;
1223211-B20-01-888;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 20 L Bag in Box;bag;
1223202-001-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90W GL-5 - 1 L (VE 12 Stück);1 L;
1223202-004-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 4 L (VE 4 Stück);4 L;
1223202-010-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 10 L;plast;
1223202-B20-01-888;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 20 L Bag in Box;bag;
1223302-001-01-999;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 1 L (VE 12 Stück);1 L;
1223302-004-01-999;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 4 L (VE 4 Stück);4 L;
1223302-010-01-999;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 10 L;plast;
1223302-B20-01-888;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 20 L Bag in Box;bag;
1223102-001-01-999;5.99;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 1 L (VE 12 Stück);1 L;
1223102-004-01-999;5.69;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 4 L (VE 4 Stück);4 L;
1223102-010-01-999;5.5;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 10 L;plast;
1223102-B20-01-888;5.5;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 20 L Bag in Box;bag;
1223210-001-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 1 L (VE 12 Stück);1 L;
1223210-004-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 4 L (VE 4 Stück);4 L;
1223210-010-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 10 L;plast;
1223210-020-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 20 L;plast;
1221111-001-01-999;15.99;8;9;RAVENOL Racing Gearoil - 1 L (VE 12 Stück);1 L;
1221111-004-01-999;15.99;8;9;RAVENOL Racing Gearoil - 4 L (VE 4 Stück);4 L;
1221111-B20-01-888;15.99;8;9;RAVENOL Racing Gearoil - 20 L Bag in Box;bag;
1221105-001-01-999;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 1 L (VE 12 Stück);1 L;
1221105-004-01-999;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 4 L (VE 4 Stück);4 L;
1221105-010-01-999;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 10 L;plast;
1221105-B20-01-888;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 20 L Bag in Box;bag;
1182101-001-01-999;8.49;8;9;RAVENOL FORKOIL Ultra Light 2,5W - 1 L (VE 12  Stück);1 L;
1182102-001-01-999;7.19;8;9;RAVENOL FORKOIL Light 5W - 1 L (VE 12  Stück);1 L;
1182104-001-01-999;4.99;8;9;RAVENOL FORKOIL Medium 10W - 1 L (VE 12 Stück);1 L;
1182105-001-01-999;5.19;8;9;RAVENOL FORKOIL Heavy 15W - 1 L (VE 12 Stück);1 L;
1182106-001-01-999;5.59;8;9;RAVENOL FORKOIL Very Heavy 20W - 1 L (VE 12 Stück);1 L;
1340109-090-04-016;2.99;8;9;RAVENOL Kupferpaste - 0,09kg  = 90 g (VE 16 Stück);tuba;
1340107-001-03-000;6.09;8;9;RAVENOL KFZ-Fließfett ZSA - 1 kg (VE 12 Stück);1 kg;
1340107-005-03-000;6.09;8;9;RAVENOL KFZ-Fließfett ZSA - 5 kg (VE 1 Stück);vedro;
1340101-001-03-000;6.09;8;9;RAVENOL Mehrzweckfett OML - 1 kg (VE 12 Stück);1 kg;
1340101-005-03-000;6.09;8;9;RAVENOL Mehrzweckfett OML - 5 kg (VE 1 Stück);vedro;
1340101-400-04-999;2.89;8;9;RAVENOL Mehrzweckfett OML - 0,4kg  = 400 g Kartusche (VE 24 Stück);kartuša;
1340102-001-03-000;6.09;8;9;RAVENOL Mehrzweckfett mit Graphit - 1 kg (VE 12 Stück);1 kg;
1340102-005-03-000;5.99;8;9;RAVENOL Mehrzweckfett mit Graphit - 5 kg (VE 1 Stück);vedro;
1340102-400-04-999;2.99;8;9;RAVENOL Mehrzweckfett mit Graphit - 0,4kg  = 400 g  Kartusche (VE 24 Stück);kartuša;
1340103-001-03-000;2.99;8;9;RAVENOL Mehrzweckfett mit MoS-2 - 1 kg (VE 12 Stück);1 kg;
1340103-005-03-000;6.39;8;9;RAVENOL Mehrzweckfett mit MoS-2 - 5 kg (VE 1 Stück);vedro;
1340103-400-04-999;3.29;8;9;RAVENOL Mehrzweckfett mit MoS-2 - 0,4kg  = 400 g  Kartusche (VE 24 Stück);kartuša;
1340117-001-03-000;3.29;8;9;RAVENOL LKW FETT BLAU - 1 kg (VE 12 Stück);1 kg;
1340117-005-03-000;6.49;8;9;RAVENOL LKW FETT BLAU - 5 kg (VE 1 Stück);vedro;
1340117-400-04-999;3.39;8;9;RAVENOL LKW FETT BLAU - 0,4kg = 400 g Kartusche (VE 24 Stück);kartuša;
1340128-400-04-999;3.99;8;9;RAVENOL Marinefett - 0,4kg  = 400 g Kartusche (VE 24 Stück);kartuša;
1340104-400-04-999;2.99;8;9;RAVENOL Super EP-Langzeitfett - 0,4kg  = 400 g  Kartusche (VE 24 Stück);kartuša;
1350601-001-01-000;5.8;8;9;RAVENOL DOT 4 - 1 L (VE 6 Stück);1 L;
1350601-250-05-000;2.49;8;9;RAVENOL DOT 4 - 0,25L = 250 ml (VE 24 Stück);250 ml;
1350601-500-05-000;3.99;8;9;RAVENOL DOT 4 - 0,5L = 500 ml (VE 12 Stück);500 ml;
1350602-001-01-000;7.9;8;9;RAVENOL DOT 5.1 - 1 L (VE 6 Stück);1 L;
1350604-500-01-000;13.9;8;9;RAVENOL Racing Brake Fluid R 325+ - 0,5 L (VE 12 Stück);500 ml;
1350605-001-01-000;5.99;8;9;RAVENOL DOT 4 LV - 1 L (VE 10 Stück);1 L;
1350131-020-01-999;5.69;8;9;RAVENOL Calibration Fluid 2.5 - 20 L;plast;
1410120-150-01-999;4.39;8;9;RAVENOL HTC Concentrate Protect MB 325.0 - 1,50 L ;1,5 L;
1410122-150-01-999;3.99;8;9;RAVENOL HJC Concentrate Protect FL22 - 1,50 L ;1,5 L;
1410128-150-01-999;4.99;8;9;RAVENOL LGC Concentrate Protect C13 - 1,50 L - ZRUŠENÉ DOPREDAJ;1,5 L;
1410141-150-01-999;4.69;8;9;RAVENOL OTC COLD CLIMATE -60°C Protect C12+ - 1,50 L;1,5 L;
1410125-150-01-999;4.99;8;9;RAVENOL LTC Concentrate Protect C12++ - 1,50 L;1,5 L;
1390201-300-05-000;4.99;8;9;RAVENOL Petrol Performance Optimizer Premium - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390202-300-05-000;4.99;8;9;RAVENOL Petrol System Cleaner - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390203-300-05-000;4.99;8;9;RAVENOL Petrol Quality Stabilisator - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390204-300-05-000;4.49;8;9;RAVENOL Petrol Octane Booster - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390241-300-05-000;4.99;8;9;RAVENOL Diesel Performance Optimizer Premium - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390242-300-05-000;4.99;8;9;RAVENOL Diesel Cetane Booster - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390243-300-05-000;4.99;8;9;RAVENOL Diesel System Cleaner - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390244-300-05-000;4.99;8;9;RAVENOL Diesel Quality Stabilisator - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390321-300-05-000;6.99;8;9;RAVENOL Professional Engine Cleaner - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1430220-001-01-000;6.9;8;9;RAVENOL Fließverbesserer - 1 L (VE 12 Stück);1 L;
1360066-005-01-000;2.99;8;9;RAVENOL Velour Reiniger - 5 L (VE 4 Stück);5 L;
1360066-500-05-000;2.99;8;9;RAVENOL Velour Reiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360067-005-01-000;2.99;8;9;RAVENOL Leder Reiniger - 5 L (VE 4 Stück);5 L;
1360067-500-05-000;2.99;8;9;RAVENOL Leder Reiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360060-005-01-000;4.99;8;9;RAVENOL ALUfelgen Reiniger - 5 L (VE 4 Stück);5 L;
1360060-500-05-000;3.99;8;9;RAVENOL ALUfelgen Reiniger - 500 ml (VE 12 Stück);500 ml;
1360025-500-05-000;2.5;8;9;RAVENOL Glasklar - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360059-500-05-000;2.5;8;9;RAVENOL Insekten Entferner - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360005-001-01-000;2.5;8;9;RAVENOL Auto-Shampoo - 1 L (VE 12 Stück);1 L;
1360004-500-05-000;3.99;8;9;RAVENOL Teerentferner - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360033-400-05-000;3.5;8;9;RAVENOL Silikon-Spray - 0,4L = 400 ml (VE 12 Stück);400 ml;
1360034-400-05-000;3.5;8;9;RAVENOL Motorstarter-Spray - 0,4L = 400 ml (VE 12 Stück);400 ml;
1360001-500-05-000;3.5;8;9;RAVENOL Kaltreiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360002-500-05-000;3.99;8;9;RAVENOL Kaltreiniger lösemittelfrei - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360068-500-05-000;2.99;8;9;RAVENOL Bootsreiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360009-400-05-000;2.99;8;9;RAVENOL Rostlöser MoS 2 Spray - 0,4L = 400 ml (VE 12 Stück);400 ml;
1360600-010-01-000;2.2;8;9;RAVENOL Handreiniger - Paste - 10 L;vedro;
1360600-500-05-000;2.5;8;9;RAVENOL Handreiniger - Paste - 500 ml (VE 24 Stück);500 ml;
1370190-001-02-000;23.9;8;9;RAVENOL Teleskopická pumpa na sud 50 - 210 Ltr;1 KS;
1370500-001-02-000;14.9;8;9;Ravenol Putzpapier blau 2-lg. 500Listov/ rolka, 2 rolky v balení;sada ;
1111103-001-01-999;7.99;8;9;RAVENOL EFE Extra Fuel Economy SAE 0W-16 - 1 L (VE 20 Stück);1 L;
1111103-004-01-999;7.99;8;9;RAVENOL EFE Extra Fuel Economy SAE 0W-16 - 4 L (VE 4 Stück);4 L;
1111103-060-01-999;7.99;8;9;RAVENOL EFE Extra Fuel Economy SAE 0W-16 - 60L;sud;
1111103-B20-01-888;7.99;8;9;RAVENOL EFE Extra Fuel Economy SAE 0W-16 - 20L Bag in Box;bag;
1111102-001-01-999;6.79;8;9;RAVENOL Eco Synth ECS SAE 0W-20 - 1 L (VE 20 Stück);1 L;
1111102-004-01-999;6.79;8;9;RAVENOL Eco Synth ECS SAE 0W-20 - 4 L (VE 4 Stück);4 L;
1111102-005-01-A01;4.98;8;9;RAVENOL ECS SAE 0W-20 AKTION 4+1 - 5 L (VE 4 Stück);5 L;
1111102-060-01-999;4.98;8;9;RAVENOL Eco Synth ECS SAE 0W-20 - 60 L;sud;
1111102-B20-01-888;4.98;8;9;RAVENOL Eco Synth ECS SAE 0W-20 - 20 L Bag in Box;bag;
1111105-001-01-999;7.69;8;9;RAVENOL EFS EcoFullSynth. SAE 0W-20 - 1 L (VE 20 Stück);1 L;
1111105-004-01-999;7.69;8;9;RAVENOL EFS EcoFullSynth. SAE 0W-20 - 4 L (VE 4 Stück);4 L;
1111105-060-01-999;7.69;8;9;RAVENOL EFS EcoFullSynth. SAE 0W-20 - 60 L;sud;
1111105-B20-01-888;6.99;8;9;RAVENOL EFS EcoFullSynth. SAE 0W-20 - 20 L Bag in Box;bag;
1111112-001-01-999;7.29;8;9;RAVENOL VSE SAE 0W-20 - 1 L (VE 20 Stück);1 L;
1111112-004-01-999;7.29;8;9;RAVENOL VSE SAE 0W-20 - 4 L (VE 4 Stück);4 L;
1111112-A05-01-999;5.58;8;9;RAVENOL VSE SAE 0W-20 AKTION 4+1 - 5 L (VE 4 Stück);5 L;
1111112-060-01-999;5.58;8;9;RAVENOL VSE SAE 0W-20 - 60 L;sud;
1111112-B20-01-888;5.58;8;9;RAVENOL VSE SAE 0W-20 - 20 L Bag in Box;bag;
1111153-001-01-999;5.99;8;9;RAVENOL RNF SAE 0W-20 - 1 L (VE 20 Stück);1 L;
1111153-004-01-999;5.5;8;9;RAVENOL RNF SAE 0W-20 - 4 L (VE 4 Stück);4 L;
1111153-020-01-999;4.99;8;9;RAVENOL RNF SAE 0W-20 - 20 L;plast;
1111153-060-01-999;4.69;8;9;RAVENOL RNF SAE 0W-20 - 60 L;sud;
1111109-001-01-999;7.69;8;9;RAVENOL DFE SAE 0W-20 - 1 L (VE 20 Stück);1 L;
1111109-004-01-999;7.5;8;9;RAVENOL DFE SAE 0W-20 - 4 L (VE 4 Stück);4 L;
1111109-060-01-999;6.99;8;9;RAVENOL DFE SAE 0W-20 - 60 L;sud;
1111109-B20-01-888;6.99;8;9;RAVENOL DFE SAE 0W-20 - 20 L Bag in Box;bag;
1111113-001-01-999;4.99;8;9;RAVENOL EHS SAE 0W-20 - 1 L (VE 20 Stück);1 L;
1111113-004-01-999;4.69;8;9;RAVENOL EHS SAE 0W-20 - 4 L (VE 4 Stück);4 L;
1111113-060-01-999;3.99;8;9;RAVENOL EHS SAE 0W-20 - 60 L;sud;
1111113-B20-01-888;4.29;8;9;RAVENOL EHS SAE 0W-20 - 20 L Bag in Box;bag;
1111107-001-01-999;7.99;8;9;RAVENOL VSF SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111107-004-01-999;7.99;8;9;RAVENOL VSF SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111107-060-01-999;7.99;8;9;RAVENOL VSF SAE 0W-30 - 60 L;sud;
1111107-B20-01-888;6.99;8;9;RAVENOL VSF SAE 0W-30 - 20 L Bag in Box;bag;
1111146-001-01-999;7.49;8;9;RAVENOL FES SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111146-004-01-999;7.49;8;9;RAVENOL FES SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111146-060-01-999;7.49;8;9;RAVENOL FES SAE 0W-30 - 60 L;sud;
1111146-B20-01-888;6.99;8;9;RAVENOL FES SAE 0W-30 - 20 L Bag in Box;bag;
1111145-001-01-999;7.19;8;9;RAVENOL SSV Fuel Economy SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111145-004-01-999;7.19;8;9;RAVENOL SSV Fuel Economy SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111145-060-01-999;7.19;8;9;RAVENOL SSV Fuel Economy SAE 0W-30 - 60 L;sud;
1111145-B20-01-888;6.49;8;9;RAVENOL SSV Fuel Economy  SAE 0W-30 - 20 L Bag in Box;bag;
1111106-001-01-999;7.99;8;9;RAVENOL VSW SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111106-004-01-999;7.99;8;9;RAVENOL VSW SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111106-060-01-999;7.99;8;9;RAVENOL VSW SAE 0W-30 - 60L;sud;
1111106-B20-01-888;7.99;8;9;RAVENOL VSW SAE 0W-30 - 20L Bag in Box;bag;
1111100-001-01-999;7.99;8;9;RAVENOL SSO SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111100-004-01-999;7.99;8;9;RAVENOL SSO SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111100-060-01-999;7.99;8;9;RAVENOL SSO SAE 0W-30 - 60 L;sud;
1111100-B20-01-888;7.99;8;9;RAVENOL SSO SAE 0W-30 - 20 L Bag in Box;bag;
1111101-001-01-999;6.99;8;9;RAVENOL WIV II SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111101-004-01-999;6.99;8;9;RAVENOL WIV II SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111101-060-01-999;6.99;8;9;RAVENOL WIV II SAE 0W-30 - 60 L;sud;
1111101-B20-01-888;6.99;8;9;RAVENOL WIV II SAE 0W-30 - 20 L Bag in Box;bag;
1111137-001-01-999;8.5;8;9;RAVENOL Arctic Low SAPS ALS SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111137-004-01-999;8;8;9;RAVENOL Arctic Low SAPS ALS SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111137-060-01-999;7;8;9;RAVENOL Arctic Low SAPS ALS SAE 0W-30 - 60 L;sud;
1111137-B20-01-888;7;8;9;RAVENOL Arctic Low SAPS ALS SAE 0W-30 - 20 L Bag in Box;bag;
1111138-001-01-999;6.5;8;9;RAVENOL Super Synthetic Hydrocrack SSH SAE 0W-30 - 1 L (VE 20 Stück);1 L;
1111138-004-01-999;6;8;9;RAVENOL Super Synthetic Hydrocrack SSH SAE 0W-30 - 4 L (VE 4 Stück);4 L;
1111138-020-01-999;4.99;8;9;RAVENOL Super Synthetic Hydrocrack SSH SAE 0W-30 - 20 L;plast;
1111108-001-01-999;7.99;8;9;RAVENOL Super Synthetik Öl SSL SAE 0W-40 - 1 L (VE 20 Stück);1 L;
1111108-004-01-999;7.69;8;9;RAVENOL Super Synthetik Öl SSL SAE 0W-40 - 4 L (VE 4 Stück);4 L;
1111108-B20-01-888;6.99;8;9;RAVENOL Super Synthetik Öl SSL SAE 0W-40 - 20 L Bag in Box;bag;
1111127-001-01-909;4.99;8;9;RAVENOL SHL SAE 0W-40 - 1 L (VE 20 Stück);1 L;
1111127-004-01-999;4.89;8;9;RAVENOL SHL SAE 0W-40 - 4 L (VE 4 Stück);4 L;
1111127-B20-01-888;4.49;8;9;RAVENOL SHL SAE 0W-40 - 20 L Bag in Box;bag;
1111104-001-01-999;7.99;8;9;RAVENOL High Fuel Economy HFE SAE 5W-16 - 1 L (VE 20 Stück);1 L;
1111104-004-01-999;7.99;8;9;RAVENOL High Fuel Economy HFE SAE 5W-16 - 4L (VE 4 Stück);4 L;
1111104-020-01-999;7.99;8;9;RAVENOL High Fuel Economy HFE SAE 5W-16 - 20 L;bag;
1111110-001-01-999;7.19;8;9;RAVENOL Super Fuel Economy SFE SAE 5W-20 - 1 L (VE 20 Stück);1 L;
1111110-004-01-999;7.19;8;9;RAVENOL Super Fuel Economy SFE SAE 5W-20 - 4 L (VE 4 Stück);4 L;
1111110-005-01-A01;5.18;8;9;RAVENOL SFE SAE 5W-20 AKTION 4+1 - 5 L (VE 4 Stück);5 L;
1111110-060-01-999;5.18;8;9;RAVENOL Super Fuel Economy SFE SAE 5W-20 - 60 L;sud;
1111110-B20-01-888;6.49;8;9;RAVENOL Super Fuel Economy SFE SAE 5W-20 - 20 L Bag in Box;bag;
1111111-001-01-999;4.99;8;9;RAVENOL GFE SAE 5W-20 - 1 L (VE 20 Stück);1 L;
1111111-004-01-999;4.89;8;9;RAVENOL GFE SAE 5W-20 - 4 L (VE 4 Stück);4 L;
1111111-B20-01-888;4.49;8;9;RAVENOL GFE SAE 5W-20 - 20 L Bag in Box;bag;
1111311-001-01-999;5.99;8;9;RAVENOL VFE SAE 5W-20 - 1 L (VE 20 Stück);1 L;
1111311-004-01-999;5.5;8;9;RAVENOL VFE SAE 5W-20 - 4 L (VE 4 Stück);4 L;
1111311-B20-01-888;5.5;8;9;RAVENOL VFE SAE 5W-20 - 20 L Bag in Box;bag;
1111122-001-01-999;7.19;8;9;RAVENOL VMP SAE 5W-30 - 1 L (VE 20 Stück);1 L;
1111122-004-01-999;7.19;8;9;RAVENOL VMP SAE 5W-30 - 4 L (VE 4 Stück);4 L;
1111122-005-01-A01;5.58;8;9;RAVENOL VMP SAE 5W-30 - AKTION 4+1 - 5 L (VE 4 Stück);5 L;
1111122-060-01-999;5.58;8;9;RAVENOL VMP SAE 5W-30 - 60 L;sud;
1111122-B20-01-888;5.58;8;9;RAVENOL VMP SAE 5W-30 - 20 L Bag in Box;bag;
1111126-001-01-999;5.95;8;9;RAVENOL SMP SAE 5W-30 - 1 L (VE 20 Stück);1 L;
1111126-004-01-999;5.49;8;9;RAVENOL SMP SAE 5W-30 - 4 L (VE 4 Stück);4 L;
1111126-005-01-999;5.49;8;9;RAVENOL SMP SAE 5W-30 - 5 L (VE 4 Stück);5 L;
1111126-060-01-999;4.69;8;9;RAVENOL SMP SAE 5W-30 - 60 L;sud;
1111126-B20-01-888;4.69;8;9;RAVENOL SMP SAE 5W-30 - 20 L Bag in Box;bag;
1111139-001-01-999;6.29;8;9;RAVENOL FDS SAE 5W-30 - 1 L (VE 20 Stück);1 L;
1111139-005-01-A01;4.58;8;9;RAVENOL FDS SAE 5W-30 - AKTION 4+1 - 5 L (VE 4 Stück);5 L;
1111139-020-01-999;5.69;8;9;RAVENOL FDS SAE 5W-30 - 20 L;plast;
1111139-060-01-999;5.69;8;9;RAVENOL FDS SAE 5W-30 - 60 L;sud;
1111139-B20-01-888;5.69;8;9;RAVENOL FDS SAE 5W-30 - 20 L Bag in Box;bag;
1111123-001-01-999;5.99;8;9;RAVENOL FEL SAE 5W-30 - 1 L (VE 20 Stück);1 L;
1111123-004-01-999;5.59;8;9;RAVENOL FEL SAE 5W-30 - 4 L (VE 4 Stück);4 L;
1111123-060-01-999;5.59;8;9;RAVENOL FEL SAE 5W-30 - 60 L;sud;
1111123-B20-01-888;4.99;8;9;RAVENOL FEL SAE 5W-30 - 20 L Bag in Box;bag;
1111143-001-01-999;6.39;8;9;RAVENOL FLJ SAE 5W-30 - 1 L (VE 20 Stück);1 L;
1111143-004-01-999;6.39;8;9;RAVENOL FLJ SAE 5W-30 - 4 L (VE 4 Stück);4 L;
1111143-020-01-999;5.79;8;9;RAVENOL FLJ SAE 5W-30 - 20 L;plast;
1111143-060-01-999;5.79;8;9;RAVENOL FLJ SAE 5W-30 - 60 L;sud;
1111143-B20-01-888;5.79;8;9;RAVENOL FLJ SAE 5W-30 - 20 L Bag in Box;bag;
1111144-001-01-999;6.39;8;9;RAVENOL VMS SAE 5W-30 - 1 L (VE 20 Stück);1 L;
1111144-004-01-999;6.39;8;9;RAVENOL VMS SAE 5W-30 - 4 L (VE 4 Stück);4 L;
1111144-060-01-999;6.39;8;9;RAVENOL VMS SAE 5W-30 - 60 L;sud;
1111144-B20-01-888;6.39;8;9;RAVENOL VMS SAE 5W-30 - 20 L Bag in Box;bag;
